,,,,,,,,
,Name,Experience,Unk2-0,Zone Number,Comment,Money,Record Number,Unk7-0
,q30g,150,0,8,Прийти к лизардмену,0,43,
,q34g,500,0,8,Лизардменское задание (плотина и камень),0,44,
,q35ag,500,0,8,Лизардменское сокровище (на островах),0,45,
,q35g,150,0,8,Уйти от лизардменов,0,46,
,q36g,500,0,4,Открыть проход к Рику,0,47,
,q36ag,500,0,10,Пройти тунель,0,48,
,q37g,250,0,4,Прийти к Рику,0,49,
,dummy,10515,0,1,,0,50,
,q42k,700,0,11,Прийти в Провинциальный город,0,51,
,qk15k,400,0,11,Бонус в руинках на юге,0,52,
,q43k,700,0,11,Найти труп сыщика,0,53,
,q44k,700,0,13,Отнести шкурки Скупщику,0,54,
,q45ak,1900,0,11,Освободить ФФ из клетки,0,55,
,q45k,900,0,11,Пойти поговорить с вождем дриад,0,56,
,dummy,16929,0,1,,0,57,
,q48k,5000,0,13,Утащить у Управляющего документы,0,58,
,qk12k,700,0,13,На далеком севере,0,59,
,qk13k,1000,0,13,Бонус у рудника,0,60,
,qk14k,1000,0,13,Бонус у отшельника,0,61,
,dummy,27256,0,1,,0,62,
,q46k,1200,0,13,Освободить старейшину,0,63,
,q46bk,500,0,13,Привести  живого Старого вождя в лагерь ФФ,0,64,
,q49k,5000,0,12,Украсть из тайника ящик с гербом губернатора,0,65,
,qk10k,1600,0,12,Тайник дриад,0,66,
,q47ak,4000,0,12,Убить рейнджера,0,67,
,dummy,43882,0,1,,0,68,
,q50ak,4000,0,11,Прийти по тайной тропе к ФФ в 11 зоне,0,69,
,q50bk,4000,0,13,Прийти по тайной тропе к ФФ в 13 зоне,0,70,
,q50ck,1200,0,13,,0,71,
,qk11k,1600,0,12,Бонус на дриадской тропе,0,72,
,q51k,1600,0,12,Убить магессу,0,73,
,q53k,7000,0,12,Добыть золотой самородок,0,74,
,q54k,3100,0,12,Дойти до шахты,0,75,
,dummy,70651,0,1,,0,76,
,q55k,29000,0,14,Найти девушку джун,0,77,
,dummy,113747,0,1,,0,78,
,q60h,27000,0,15,Пройти Каньон смерти,0,79,
,qh1h,2700,0,15,Сундук вверху,0,80,
,qh2h,2700,0,15,Сундук внизу,0,81,
,qh3h,2700,0,15,Первая буфилка,0,82,
,qh4h,2700,0,15,Вторая буфилка,0,83,
,qh5h,2700,0,15,Третья буфилка,0,84,
,qh6h,6000,0,15,Убить студентов,0,85,
,dummy,183133,0,1,,0,86,
,q61h,7000,0,15,Украсть ключ от клетки героя,0,87,
,q62h,23000,0,15,Добраться до входа в пещеру,0,88,
,q63h,23000,0,16,Пройти пещеру,0,89,
,qk31h,5000,0,17,Убить суккубуса,0,90,
,qk32h,7000,0,17,Печать императора (циклоп),0,91,
,q64ah,12000,0,18,Убить 2х братьев надсмотрщиков,0,92,
,dummy,294845,0,1,,0,93,
,q65h,50000,0,18,Вытащить украденное Воровкой,0,94,
,q66h,50000,0,18,Отнести письмо Джунофилу,0,95,
,q67h,22000,0,18,Встретиться с Джунофилом,0,96,
,qk30h,11000,0,18,Зажиточный хадаганец,0,97,
,dummy,474700,0,1,,0,98,
,q68h,30000,0,17,Прийти к Старому Некроманту,0,99,
,q69h,90000,0,17,Утащить труп из лаборатории,0,100,
,q70h,80000,0,18,Забрать обломки древнего артифакта,0,101,
,dummy,764267,0,1,,0,102,
,q71h,90000,0,19,Встретиться со старостой,0,103,
,qk16h,13000,0,19,Бонусный сундук,0,104,
,qk17h,13000,0,19,Бонусный сундук,0,105,
,q72h,210000,0,19,Войти в портал,0,106,
,dummy,1230470,0,1,,0,107,
,q73g,1500000,0,20,Уничтожить Проклятье,0,108,
,dummy,5135100,0,1,,0,109,
