,,,,,,,,,,,
,Name,Place1-1,Place1-2,Place2-1,Place2-2,Unk2-0,Scale,Switch Time,Material,Switch Sound,Lever Text
,stst57,0.0,2.0,0.0,-1.0,2.0,3.0,22.0,Stone,Tools\Door.wav,CaveDoor                Открывание деревянных ворот
,stst58,1.74468e-39,6.02966e-39,nan,1.74458e-39,0.0,1.0,4.0,Stone,Tools\Metal.wav,CaveLevel00             Металлический рычаг
,stst62,0.0,1.2,nan,1.74458e-39,1.0,3.0,15.0,Stone,Tools\On_off.wav,golemControl00          Опускание каменного столба
,stst81,1.74468e-39,6.02966e-39,nan,1.74458e-39,0.0,1.0,22.0,Stone,Tools\BoxM.wav,flyerChest00            Открывание металлического сундука
,stst84,1.74468e-39,6.02966e-39,nan,1.74458e-39,0.0,1.0,22.0,Stone,Tools\BoxM.wav,ogreChest00             Открывание кожанного сундука
,stst92,1.74468e-39,6.02966e-39,nan,1.74458e-39,0.0,1.0,22.0,Stone,Tools\BoxM.wav,hadoganChest00          Открывание металлического сундука
,stst95,1.74468e-39,6.02966e-39,nan,1.74458e-39,0.0,1.0,4.0,Stone,Tools\Metal.wav,flyerBridgeLever00      Металлический рычаг
,stst102,1.74468e-39,6.02966e-39,nan,1.74458e-39,0.0,1.0,41.0,Stone,Tools\Bigstone.wav,fallingStone00          Катящийся и плюхающийся в воду камень
,stst105,1.74468e-39,6.02966e-39,nan,1.74458e-39,0.0,1.0,15.0,Stone,Tools\On_off.wav,teleportControlPanel00  Опускание каменного столба
,stst106,1.74468e-39,6.02966e-39,nan,1.74458e-39,0.0,1.0,15.0,Stone,Tools\loot.wav,DeadScientist00         Труп ученого
,stst107,1.74468e-39,6.02966e-39,nan,1.74458e-39,0.0,1.0,41.0,Stone,Tools\loot.wav,DeadWarrior00           Труп хадаганского воина
,stst115,1.74468e-39,6.02966e-39,nan,1.74458e-39,0.0,1.0,15.0,Stone,Tools\On_off.wav,mineControl00           Опускание каменного столба
,stwa7,0.0,-1.0,nan,1.74458e-39,1.0,3.0,10.0,Stone,Tools\BoxW.wav,driadFence01            Поворот (перекручивание) старого дерева
,stwa9,0.0,-1.0,nan,1.74458e-39,1.0,3.0,10.0,Stone,Tools\BoxW.wav,driadFence03            Поворот (перекручивание) старого дерева
,stst28,0.0,0.5,0.2,0.5,2.0,4.0,10.0,Stone,Tools\water.wav,Source00                По идее звука нет.. Прописан просто так..
