,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Name,Base Race,Unk2-0,Graphics Data Skin Index,Graphics Data Hair,Graphics Data Complection X,Graphics Data Complection Y,Graphics Data Complection Z,Unk8-0,Stats Health,Stats Mana,Stats Absorbtion,Tuning Actions,Tuning Move,Attack Range,Stats To Hit,Stats Parry,Tuning Weapon Weight,Attack Weapon Type Id,Stats Danage Nub,Stats Damage Max,Skills General,Skills Steal,Skills Tame,Skills Peripheral,Senses Sight,Senses Infra,Senses SenseLife,Senses Hearing,Senses Smell,Senses Tracking,Detections Sight,Detections Infra,Detections SenseLife,Detections Hearing,Detections Smell,Detections Tracking,Common loot Probability,Common loot Mask,Common loot Min,Common loot Max,Rare loot Probability,Rare loot Mask,Rare loot Min,Rare loot Max,Items,Skills Elemental,Skills Senses,Skills Astral,Spells,Equipment Wears,Equipment Weapon №1,Graphics Data Info Window Scale,Graphics Data Altitude,Tuning To hit Random,Graphics Data Dialog Camera Distance,Graphics Data Dialog Camera,Graphics Data Dialog Camera Height,Attack Real Weapon Type Id,Graphics Data Detonation,Base Level,Equipment Weapon №2,Stats Exp
,Human Mercenary Hadagan Warrior,Human Male,0,26,-1,0.5,0.13,1.2,heroes\HWarrior,20,10,7,50,1,0,5,5,1,8,1,1,0,0,99,2.6,13,100,0,4.3,0,0,1,1,1,1,1,1,100,0,0,1,10,0,0,0,,0,0,0,,"hadagan brigand pants.thick,hadagan brigand gloves.thick,hadagan brigand boots.thin,hadagan low leggins.thin",unique spear.mithrill[lightning {it;e2;e2}],1,0,40,0,0.7,0.7,9,0,0,,3
,Human Mercenary Hadagan Thief,Human Male,0,28,-1,0.1,0.24,0.79,heroes\HThief,20,10,7,50,1,0,5,5,1,8,1,1,0,0,99,2.6,13,100,0,4.3,0,0,1,1,1,1,1,1,100,0,0,1,10,0,0,0,,0,0,0,"acid_ray{e1;e1;e1;e1;e1},acid_fog{fe;t2;e1;e1},silence{ff;t2;d2},infravision{d2}","hadagan medium shirt.silk red,hadagan low gloves.silk blue,hadagan medium leggins.silk blue",curved dagger.mithrill,1,0,40,0,0.7,0.7,9,0,0,,3
,Human Mercenary Hadagan Rogue,Human Female,0,11,2,0.31,0.18,0.7,heroes\Rogue,20,10,7,50,1,0,5,5,1,8,1,1,0,0,99,2.6,13,100,0,4.3,0,0,1,1,1,1,1,1,100,0,0,1,10,0,0,0,,0,0,0,"invisibility{d2;d2;m1},vision_fog{fe;t2;d1},clairvoyence{a2;a2}","hadagan low shirt.silk red,hadagan low leggins.thick,hadagan low gloves.silk red",curved dagger.adamantium,1,0,40,0,0.7,0.7,9,0,0,,3
,AncientCurseM25,Ancient Curse,0,0,2,0.5,0.5,0.5,,1000,1000,150,51,1,10,200,200,1,16,100,0,175,100,100,1.7,20,100,20,2.8,2.83333,10,3,3,3,3,3,3,100,0,0,0,10,0,0,0,,175,175,175,curse_magic,,,3,3,40,0,0.7,0.7,16,0,35,,1000000
,BansheeDarkF12Canyon,Banshee,0,0,2,0.5,0.5,0.5,,70,31,21,70,1,0,101,85,1,8,22,19,60,100,100,1.7,8.5,100,8.5,2.8,0,0,1,1,1,1,1,1,100,0,0,0,10,0,0,0,bansheerobe01,0,0,0,,,,1,0.2,40,0,0.7,0.7,10,0,12,,140
,BansheeDarkF12,Banshee,0,0,2,0.5,0.5,0.5,,160,31,21,70,1,0,101,85,1,8,22,19,60,100,100,1.7,8.5,100,8.5,2.8,0,0,1,1,1,1,1,1,100,0,0,0,10,0,0,0,bansheerobe01,0,0,0,,,,1,0.2,40,0,0.7,0.7,10,0,12,,140
,BansheeDarkF14,Banshee,0,0,2,0.5,0.5,0.5,,210,38,25,70,1,0,117,98,1,8,27,22,70,100,100,1.7,8.5,100,8.5,2.8,0,0,1,1,1,1,1,1,100,0,0,0,10,0,0,0,bansheerobe01_2,0,0,0,,,,1,0.2,40,0,0.7,0.7,10,0,14,,300
,BansheeDarkF16,Banshee,0,0,2,0.5,0.5,0.5,,280,46,30,70,1,0,133,112,1,8,32,28,80,100,100,1.7,8.5,100,8.5,2.8,0,0,1,1,1,1,1,1,100,0,0,0,10,0,0,0,bansheerobe01_3,0,0,0,,,,1,0.2,40,0,0.7,0.7,10,0,16,,700
,BansheeDarkM12Canyon,Banshee Dgun,0,0,2,0.5,0.5,0.5,,70,63,21,70,1,8,101,85,1,16,41,0,60,100,100,1.7,8.5,100,8.5,2.8,0,0,1,1,1,1,1,1,100,0,0,0,10,0,0,0,bansheerune01,60,60,60,lightning {e2;e2},,,1,0.2,40,0,0.7,0.7,16,0,12,,140
,BansheeDarkM12,Banshee Dgun,0,0,2,0.5,0.5,0.5,,160,63,21,70,1,8,101,85,1,16,41,0,60,100,100,1.7,8.5,100,8.5,2.8,0,0,1,1,1,1,1,1,100,0,0,0,10,0,0,0,bansheerune01,60,60,60,lightning {e2;e2},,,1,0.2,40,0,0.7,0.7,16,0,12,,140
,BansheeDarkM14,Banshee Dgun,0,0,2,0.5,0.5,0.5,,210,76,25,70,1,8,117,98,1,16,49,0,70,100,100,1.7,8.5,100,8.5,2.8,0,0,1,1,1,1,1,1,100,0,0,0,10,0,0,0,bansheerune01_2,70,70,70,lightning {e2;e2;t1;fe},,,1,0.2,40,0,0.7,0.7,16,0,14,,300
,BansheeDarkM16,Banshee Dgun,0,0,2,0.5,0.5,0.5,,280,92,30,70,1,8,133,112,1,16,60,0,80,100,100,1.7,8.5,100,8.5,2.8,0,0,1,1,1,1,1,1,100,0,0,0,10,0,0,0,bansheerune01_3,80,80,80,lightning {e2;e2;e1;t1;fe},,,1,0.2,40,0,0.7,0.7,16,0,16,,700
,BansheeLightF2,Banshee,0,0,2,0.5,0.5,0.5,,31,12,8,70,1,0,21,18,1,8,8,8,10,100,100,1.7,8.5,100,8.5,2.8,0,0,1,1,1,1,1,1,100,0,0,0,10,0,0,0,bansheerobe00,0,0,0,,,,1,0.2,40,0,0.7,0.7,10,0,2,,5
,BansheeLightF3,Banshee,0,0,2,0.5,0.5,0.5,,40,13,9,70,1,0,29,25,1,8,9,8,15,100,100,1.7,8.5,100,8.5,2.8,0,0,1,1,1,1,1,1,100,0,0,0,10,0,0,0,bansheerobe00_2,0,0,0,,,,1,0.2,40,0,0.7,0.7,10,0,3,,6
,BansheeLightF4,Banshee,0,0,2,0.5,0.5,0.5,,50,15,10,70,1,0,37,32,1,8,10,9,20,100,100,1.7,8.5,100,8.5,2.8,0,0,1,1,1,1,1,1,100,0,0,0,10,0,0,0,bansheerobe00_3,0,0,0,,,,1,0.2,40,0,0.7,0.7,10,0,4,,8
,BansheeLightM5,Banshee Dgun,0,0,2,0.5,0.5,0.5,,60,32,11,70,1,8,45,38,1,16,21,0,25,100,100,1.7,8.5,100,8.5,2.8,0,0,1,1,1,1,1,1,100,0,0,0,10,0,0,0,bansheerune00,25,25,25,lightning {e2},,,1,0.2,40,0,0.7,0.7,16,0,5,,10
,BansheeLightM6,Banshee Dgun,0,0,2,0.5,0.5,0.5,,70,35,12,70,1,8,53,45,1,16,23,0,30,100,100,1.7,8.5,100,8.5,2.8,0,0,1,1,1,1,1,1,100,0,0,0,10,0,0,0,bansheerune00_2,30,30,30,lightning {e2},,,1,0.2,40,0,0.7,0.7,16,0,6,,14
,BansheeLightM7,Banshee Dgun,0,0,2,0.5,0.5,0.5,,80,39,13,70,1,8,61,52,1,16,25,0,35,100,100,1.7,8.5,100,8.5,2.8,0,0,1,1,1,1,1,1,100,0,0,0,10,0,0,0,bansheerune00_3,35,35,35,lightning {e2},,,1,0.2,40,0,0.7,0.7,16,0,7,,20
,BatDarkM12,Bat,0,0,2,0.5,0.5,0.5,,160,63,21,50,1,8,101,85,1,16,41,0,60,100,60,1.7,8.5,100,0,2.8,0,0,1,1,1,1,1,1,100,0,0,0,10,0,0,0,batwings01,60,60,60,lightning {e2;e2},,,1,1,40,0,0.7,0.7,16,0,12,,140
,BatDarkM14,Bat,0,0,2,0.5,0.5,0.5,,210,76,25,50,1,8,117,98,1,16,49,0,70,100,70,1.7,8.5,100,0,2.8,0,0,1,1,1,1,1,1,100,0,0,0,10,0,0,0,batwings01_2,70,70,70,lightning {e2;e2;e1},,,1,1,40,0,0.7,0.7,16,0,14,,300
,BatDarkM16,Bat,0,0,2,0.5,0.5,0.5,,280,92,30,50,1,8,133,112,1,16,60,0,80,100,80,1.7,8.5,100,0,2.8,0,0,1,1,1,1,1,1,100,0,0,0,10,0,0,0,batwings01_3,80,80,80,lightning {e2;e2;e2},,,1,1,40,0,0.7,0.7,16,0,16,,700
,BatLightM7,Bat,0,0,2,0.5,0.5,0.5,,80,39,13,50,1,8,61,52,1,16,25,0,35,100,35,1.7,8.5,100,0,2.8,0,0,1,1,1,1,1,1,100,0,0,0,10,0,0,0,batwings02,35,35,35,lightning {e2},,,1,1,40,0,0.7,0.7,16,0,7,,20
,BatLightM8,Bat,0,0,2,0.5,0.5,0.5,,90,43,14,50,1,8,69,58,1,16,28,0,40,100,40,1.7,8.5,100,0,2.8,0,0,1,1,1,1,1,1,100,0,0,0,10,0,0,0,batwings02_2,40,40,40,lightning {e2;e1},,,1,1,40,0,0.7,0.7,16,0,8,,28
,BatLightM9,Bat,0,0,2,0.5,0.5,0.5,,110,47,16,50,1,8,77,65,1,16,31,0,45,100,45,1.7,8.5,100,0,2.8,0,0,1,1,1,1,1,1,100,0,0,0,10,0,0,0,batwings02_2,45,45,45,lightning {e2;e1},,,1,1,40,0,0.7,0.7,16,0,9,,50
,BatLightM10,Bat,0,0,2,0.5,0.5,0.5,,120,52,17,50,1,8,85,72,1,16,34,0,50,100,50,1.7,8.5,100,0,2.8,0,0,1,1,1,1,1,1,100,0,0,0,10,0,0,0,batwings02_3,50,50,50,lightning {e2;e1},,,1,1,40,0,0.7,0.7,16,0,10,,60
,BatRedM1,Bat_fire,0,0,2,0.5,0.5,0.5,,13,22,7,50,1,8,13,12,1,16,14,0,5,100,5,1.7,8.5,100,0,2.8,0,0,1,1,1,1,1,1,100,0,0,0,10,0,0,0,batwings00,5,5,5,arrow {e1},,,1,1,40,0,0.7,0.7,16,0,1,,4
,BatRedM3,Bat_fire,0,0,2,0.5,0.5,0.5,,19,27,9,50,1,8,29,25,1,16,17,0,15,100,15,1.7,8.5,100,0,2.8,0,0,1,1,1,1,1,1,100,0,0,0,10,0,0,0,batwings00_2,15,15,15,arrow {e2},,,1,1,40,0,0.7,0.7,16,0,3,,6
,BatRedM5,Bat_fire,0,0,2,0.5,0.5,0.5,,27,32,11,50,1,8,45,38,1,16,21,0,25,100,25,1.7,8.5,100,0,2.8,0,0,1,1,1,1,1,1,100,0,0,0,10,0,0,0,batwings00_3,25,25,25,arrow {e2},,,1,1,40,0,0.7,0.7,16,0,5,,10
,BoarDarkF3,Boar,0,0,2,0.5,0.5,0.3,,40,13,9,81,1,0,29,25,1,8,9,8,15,100,15,1.7,8.5,100,0,2.8,0,0,1,1,1,1,1,1,100,0,0,0,10,0,0,0,material.thick [1],0,0,0,,,,1,0,40,0,0.7,0.7,8,0,3,,6
,BoarDarkF4,Boar,0,0,2,0.5,0.5,0.5,,50,15,10,81,1,0,37,32,1,8,10,9,20,100,20,1.7,8.5,100,0,2.8,0,0,1,1,1,1,1,1,100,0,0,0,10,0,0,0,material.thick [1],0,0,0,,,,1,0,40,0,0.7,0.7,15,0,4,,8
,BoarDarkF5,Boar,0,0,2,0.5,0.5,0.7,,60,16,11,81,1,0,45,38,1,8,11,10,25,100,25,1.7,8.5,100,0,2.8,0,0,1,1,1,1,1,1,100,0,0,0,10,0,0,0,material.thick [2],0,0,0,,,,1,0,40,0,0.7,0.7,15,0,5,,10
,BoarDarkF6,Boar,0,0,2,0.5,0.5,0.9,,70,18,12,81,1,0,53,45,1,8,12,11,30,100,30,1.7,8.5,100,0,2.8,0,0,1,1,1,1,1,1,100,0,0,0,10,0,0,0,material.thick [3],0,0,0,,,,1,0,40,0,0.7,0.7,15,0,6,,14
,BoarRedF1,Boar,0,0,2,0.5,0.5,0.2,,25,11,7,81,1,0,13,12,1,8,8,6,5,100,5,1.7,8.5,100,0,2.8,0,0,1,1,1,1,1,1,100,0,0,0,10,0,0,0,material.thin [1],0,0,0,,,,1,0,40,0,0.7,0.7,15,0,1,,4
,BoarRedF2,Boar,0,0,2,0.5,0.5,0.4,,31,12,8,81,1,0,21,18,1,8,8,8,10,100,10,1.7,8.5,100,0,2.8,0,0,1,1,1,1,1,1,100,0,0,0,10,0,0,0,material.thin [2],0,0,0,,,,1,0,40,0,0.7,0.7,15,0,2,,5
,BoarRedF3,Boar,0,0,2,0.5,0.5,0.7,,40,13,9,81,1,0,29,25,1,8,9,8,15,100,15,1.7,8.5,100,0,2.8,0,0,1,1,1,1,1,1,100,0,0,0,10,0,0,0,material.thin [3],0,0,0,,,,1,0,40,0,0.7,0.7,15,0,3,,6
,CowF0,Cow,0,0,2,0.5,0.5,0.5,,20,10,0,50,1,0,0,0,1,8,0,0,0,99,0,1.7,8.5,100,0,2.8,0,0,1,1,1,1,1,1,100,0,0,0,10,0,0,0,material.thin [4],0,0,0,,,,1,0,40,0,0.7,0.7,15,0,0,,0
,CyclopsA16,Cyclope,0,0,2,0.5,0.5,0.35,,280,46,30,130,1,8,133,112,1,5,32,28,80,80,100,1.7,12.8,100,0,2.8,0,0,1.5,1,1.5,1,1,1,100,0,19661,78643,10,0,0,0,material.malachite [8],0,0,0,,,,3,0,40,0,0.7,0.7,11,1.5,16,,700
,CyclopsA18,Cyclope,0,0,2,0.5,0.5,0.55,,400,56,37,130,1,8,149,125,1,5,39,33,90,90,100,1.7,12.8,100,0,2.8,0,0,1.5,1,1.5,1,1,1,100,0,78643,314573,10,0,0,0,material.malachite [8],0,0,0,,,,3.4,0,40,0,0.7,0.7,11,2,18,,1500
,CyclopsA20,Cyclope,0,0,2,0.5,0.5,0.8,,500,67,44,130,1,8,165,138,1,5,47,40,100,100,100,1.7,12.8,100,0,2.8,0,0,1.5,1,1.5,1,1,1,100,0,314573,1258290,10,0,0,0,material.malachite [8],0,0,0,,,,3.6,0,40,0,0.7,0.7,11,2.5,20,,4000
,DeerF0,Deer,0,0,2,0.5,0.5,0.5,,20,10,0,50,1,0,0,0,1,8,0,0,0,99,0,1.7,8.5,100,0,2.8,0,0,1,1,1,1,1,1,100,0,0,0,10,0,0,0,material.thin [1],0,0,0,,,,1,0,40,0,0.7,0.7,15,0,0,,0
,DogGreyF6,Dog,0,0,2,0.5,0.5,0.3,,70,18,12,68,1,0,53,45,1,8,12,11,30,100,30,1.7,8.5,100,0,2.8,2.83333,10,1,1,1,1,1,1,100,0,0,0,10,0,0,0,dogskin01,0,0,0,,,,1,0,40,0,0.7,0.7,15,0,6,,14
,DogGreyF7,Dog,0,0,2,0.5,0.5,0.5,,80,19,13,68,1,0,61,52,1,8,14,11,35,100,35,1.7,8.5,100,0,2.8,2.83333,10,1,1,1,1,1,1,100,0,0,0,10,0,0,0,dogskin01_2,0,0,0,,,,1,0,40,0,0.7,0.7,15,0,7,,20
,DogGreyF8,Dog,0,0,2,0.5,0.5,0.7,,90,21,14,68,1,0,69,58,1,8,15,13,40,100,40,1.7,8.5,100,0,2.8,2.83333,10,1,1,1,1,1,1,100,0,0,0,10,0,0,0,dogskin01_3,0,0,0,,,,1,0,40,0,0.7,0.7,15,0,8,,28
,DogRedF12,Dog,0,0,2,0.5,0.5,0.5,,160,31,21,68,1,0,101,85,1,8,22,19,60,100,60,1.7,8.5,100,0,2.8,2.83333,10,1,1,1,1,1,1,100,0,0,0,10,0,0,0,dogskin00,0,0,0,,,,1,0,40,0,0.7,0.7,15,0,12,,140
,DogRedF14,Dog,0,0,2,0.5,0.5,0.7,,210,38,25,68,1,0,117,98,1,8,27,22,70,100,70,1.7,8.5,100,0,2.8,2.83333,10,1,1,1,1,1,1,100,0,0,0,10,0,0,0,dogskin00_2,0,0,0,,,,1,0,40,0,0.7,0.7,15,0,14,,300
,DogRedF16,Dog,0,0,2,0.5,0.5,0.9,,280,46,30,68,1,0,133,112,1,8,32,28,80,100,80,1.7,8.5,100,0,2.8,2.83333,10,1,1,1,1,1,1,100,0,0,0,10,0,0,0,dogskin00_3,0,0,0,,,,1,0,40,0,0.7,0.7,15,0,16,,700
,DragonBlueM14,Dragon_blue,0,0,2,0.5,0.5,0.5,,210,76,25,70,1,8,117,98,1,16,48,0,70,100,100,1.7,8.5,100,0,2.8,0,0,1,1,1,1,1,1,100,0,4915,19661,10,0,0,0,"material.dragon black bones [3],material.dragon black [4]",70,70,70,lightning {e2;e2;e1},,,4,7,40,5.6,3,3,16,0,14,,300
,DragonBrownM16,Dragon_red,0,0,2,0.5,0.5,0.5,,280,92,30,70,1,8,133,112,1,16,49,0,80,100,100,1.7,8.5,100,0,2.8,0,0,1,1,1,1,1,1,100,0,19661,78643,10,0,0,0,"material.dragon red bones [3],material.dragon red [4]",80,80,80,"fireball {e2;e2;e2},arrow {e2;e2;e2}",,,4,7,40,5.6,3,3,16,0,16,,700
,DragonGreenM12,Dragon_green,0,0,2,0.5,0.5,0.5,,160,63,21,70,1,8,101,85,1,16,45,30,60,100,100,1.7,8.5,100,0,2.8,0,0,1,1,1,1,1,1,100,0,1229,4915,10,0,0,0,"material.dragon green bones [3],material.dragon green [4]",60,60,60,"acid_fog {e2;e2},acid_ray {e2;e2}",,,4,7,40,5.6,3,3,16,0,12,,140
,DragonkinGreenF3,Lizardman,0,0,2,0.5,0.5,0.5,,60,16,11,55,1,0,45,38,1,8,11,10,25,100,100,1.7,8.5,100,0,2.8,0,0,1,1,1,1,1,1,100,0,10,38,10,0,0,0,material.tanned thin [1],0,0,0,,,,1.1,0,40,0,0.7,0.7,10,0,5,,10
,DragonkinGreenF7,Lizardman,0,0,2,0.5,0.5,0.7,,80,19,13,55,1,0,61,52,1,8,14,11,35,100,100,1.7,8.5,100,0,2.8,0,0,1,1,1,1,1,1,100,0,38,154,10,0,0,0,material.tanned thin [1],0,0,0,,,,1.1,0,40,0,0.7,0.7,10,0,7,,20
,DragonkinBeastmenF3,Lizardman,0,0,2,0.5,0.5,0.6,,40,13,9,55,1,0,29,25,1,8,9,8,15,100,100,1.7,8.5,100,0,2.8,0,0,1,1,1,1,1,1,100,0,2,10,10,0,0,0,bone spear.dry bones,0,0,0,,,,1.1,0,40,0,0.7,0.7,10,0,3,,6
,DragonkinJunF11,Lizardman,0,0,2,0.5,0.5,0.8,,140,29,19,55,1,0,93,78,1,8,20,17,55,100,100,1.7,8.5,100,0,2.8,0,0,1,1,1,1,1,1,100,0,614,2458,10,0,0,0,material.tanned thin [1],0,0,0,,,,1.1,0,40,0,0.7,0.7,10,0,11,,90
,DragonkinJunF7,Lizardman,0,0,2,0.5,0.5,0.6,,110,24,16,55,1,0,77,65,1,8,17,14,45,100,100,1.7,8.5,100,0,2.8,0,0,1,1,1,1,1,1,100,0,154,614,10,0,0,0,material.tanned thin [1],0,0,0,,,,1.1,0,40,0,0.7,0.7,10,0,9,,50
,DragonkinOrcishF5,Lizardman,0,0,2,0.5,0.5,0.5,,80,19,13,55,1,0,61,52,1,8,14,11,35,100,100,1.7,8.5,100,0,2.8,0,0,1,1,1,1,1,1,100,0,38,154,10,0,0,0,material.tanned thin [1],0,0,0,,,,1.1,0,40,0,0.7,0.7,10,0,7,,20
,DragonkinOrcishF9,Lizardman,0,0,2,0.5,0.5,0.7,,110,24,16,55,1,0,77,65,1,8,17,14,45,100,100,1.7,8.5,100,0,2.8,0,0,1,1,1,1,1,1,100,0,154,614,10,0,0,0,material.tanned thin [1],0,0,0,,,,1.1,0,40,0,0.7,0.7,10,0,9,,50
,DriadDarkA7,Driad,0,0,2,0.5,0.5,0.3,,80,19,13,110,1,8,61,52,1,5,14,11,35,100,100,1.7,8.5,100,0,2.8,0,0,1,1,1,1,1,1,100,0,38,154,10,0,0,0,material.steel [1],0,0,0,,,,1,0,40,0,0.5,0.5,9,0,7,,20
,DriadDarkA9,Driad,0,0,2,0.5,0.5,0.5,,110,24,16,110,1,8,77,65,1,5,17,14,45,100,100,1.7,8.5,100,0,2.8,0,0,1,1,1,1,1,1,100,0,154,614,10,0,0,0,material.steel [2],0,0,0,,,,1,0,40,0,0.5,0.5,9,0,9,,50
,DriadDarkA11,Driad,0,0,2,0.5,0.5,0.7,,140,29,19,110,1,8,93,78,1,5,20,17,55,100,100,1.7,8.5,100,0,2.8,0,0,1,1,1,1,1,1,100,0,614,2458,10,0,0,0,material.steel [3],0,0,0,,,,1,0,40,0,0.5,0.5,9,0,11,,90
,DriadDarkM7,Driad,0,0,2,0.5,0.5,0.4,,40,39,13,110,1,8,61,52,1,5,14,11,35,100,100,1.7,8.5,100,0,2.8,0,0,1,1,1,1,1,1,100,0,38,154,10,0,0,0,material.steel [1],35,35,35,"lightning {e2},strength{d2}",,,1,0,40,0,0.5,0.5,9,0,7,,20
,DriadDarkM9,Driad,0,0,2,0.5,0.5,0.6,,60,47,16,110,1,8,77,65,1,5,17,14,45,100,100,1.7,8.5,100,0,2.8,0,0,1,1,1,1,1,1,100,0,154,614,10,0,0,0,material.steel [2],45,45,45,"lightning {e2;e1},strength{d2}",,,1,0,40,0,0.5,0.5,9,0,9,,50
,DriadDarkM11,Driad,0,0,2,0.5,0.5,0.8,,70,57,19,110,1,8,93,78,1,5,20,17,55,100,100,1.7,8.5,100,0,2.8,0,0,1,1,1,1,1,1,100,0,614,2458,10,0,0,0,material.steel [3],55,55,55,lightning {e2;e2},,,1,0,40,0,0.5,0.5,9,0,11,,90
